number,lot,href,start_price
Торги № 32786-ОАОФ,( лот 2 ),https://tbankrot.ru/item?id=5422003,36000000.0
Торги № 7332–ОТПП,( лот 1 ),https://tbankrot.ru/item?id=5421616,49582348.8
Торги № 2798-ОТПП,( лот 3 ),https://tbankrot.ru/item?id=5421596,136284000.0
Торги № 2798-ОТПП,( лот 2 ),https://tbankrot.ru/item?id=5421595,96400000.0
Торги № 2797-ОТПП,( лот 2 ),https://tbankrot.ru/item?id=5421589,39388680.0
Торги № 5282374,( лот 1 ),https://tbankrot.ru/item?id=5421496,2686352054.07
Торги № 32772-ОТПП,( лот 1 ),https://tbankrot.ru/item?id=5421437,25251926.89
Торги № 117211-МЭТС,( лот 2 ),https://tbankrot.ru/item?id=5421378,17453450.96
Торги № ОАОФЦП-96837,( лот 3 ),https://tbankrot.ru/item?id=5421165,92042116.74
Торги № ОАОФЦП-562,( лот 17 ),https://tbankrot.ru/item?id=5421124,11174204.7
Торги № ОАОФЦП-562,( лот 14 ),https://tbankrot.ru/item?id=5421119,199316134.38
Торги № ОАОФЦП-562,( лот 12 ),https://tbankrot.ru/item?id=5421117,12011238.62
Торги № ОАОФЦП-562,( лот 11 ),https://tbankrot.ru/item?id=5421115,31028455.47
Торги № ОАОФЦП-562,( лот 10 ),https://tbankrot.ru/item?id=5421113,263512215.86
Торги № ОАОФЦП-562,( лот 9 ),https://tbankrot.ru/item?id=5421111,402145789.78
Торги № ОАОФЦП-562,( лот 8 ),https://tbankrot.ru/item?id=5421109,141105446.99
Торги № ОАОФЦП-562,( лот 5 ),https://tbankrot.ru/item?id=5421104,15944712.39
Торги № ОАОФЦП-562,( лот 4 ),https://tbankrot.ru/item?id=5421102,225054070.02
Торги № ОАОФЦП-562,( лот 3 ),https://tbankrot.ru/item?id=5421100,176658549.35
Торги № 32597-ОТПП,( лот 3 ),https://tbankrot.ru/item?id=5420983,157001000.0
Торги № 32597-ОТПП,( лот 2 ),https://tbankrot.ru/item?id=5420982,63001000.0
Торги № 117209-МЭТС,( лот 1 ),https://tbankrot.ru/item?id=5420946,47695661.56
Торги № 5282739,( лот 1 ),https://tbankrot.ru/item?id=5420924,28573412.53
Торги № ПП-58843,( лот 1 ),https://tbankrot.ru/item?id=5420718,28403183.7
Торги № ПП-36357,( лот 1 ),https://tbankrot.ru/item?id=5420604,71545372.51
Торги № ОАОФЦП-96851,( лот 5 ),https://tbankrot.ru/item?id=5420470,23531551.14
Торги № ОАОФЦП-96851,( лот 3 ),https://tbankrot.ru/item?id=5420468,19643892.55
Торги № 117191-МЭТС,( лот 2 ),https://tbankrot.ru/item?id=5420317,104941161.01
